term,estimate,std.error,statistic,p.value,Model
COUNTY.xLassen,-1.5807950190300257e-4,2.028560258133273e-4,-0.779269441315344,0.43582392796774305,Log Volume
COUNTY.xLos Angeles,-7.190736391807361e-5,2.358625049347039e-4,-0.3048698390529704,0.7604662911176463,Log Volume
COUNTY.xMadera,-1.0833221158461211e-4,1.914412320509683e-4,-0.5658771123859583,0.5714793291910826,Log Volume
COUNTY.xMarin,1.7991364888401006e-5,2.0506409738134436e-4,0.08773532333621344,0.930087321698108,Log Volume
COUNTY.xMariposa,-9.438659599548333e-5,2.4094537356779741e-4,-0.39173441929120395,0.6952557755532927,Log Volume
COUNTY.xMendocino,9.6303614130139e-6,1.8388484200638821e-4,0.05237169800368504,0.9582326902993966,Log Volume
COUNTY.xMerced,-3.888636284685078e-5,1.827743427884859e-4,-0.21275613553622075,0.831517864907932,Log Volume
COUNTY.xModoc,-1.7628992605207003e-4,2.1113032614656244e-4,-0.8349815456150677,0.40373125336484683,Log Volume
COUNTY.xMono,-1.4508368969060886e-4,1.9828971205088482e-4,-0.7316753259159391,0.46436947123563166,Log Volume
COUNTY.xMonterey,2.111575439888249e-5,1.832412847205805e-4,0.11523469959884483,0.9082594614298244,Log Volume
COUNTY.xNapa,-7.4399683687993225e-6,1.8148127401258e-4,-0.040995790939199576,0.9672993808058677,Log Volume
COUNTY.xNevada,-9.190392473782381e-5,1.8686346029252995e-4,-0.49182394778492583,0.6228455126663348,Log Volume
COUNTY.xOrange,-6.155305979953644e-5,2.578412320730032e-4,-0.23872465743612634,0.8113198691446796,Log Volume
COUNTY.xPlacer,-8.397326610161652e-5,1.8708535128334904e-4,-0.44885003302281695,0.6535413811884321,Log Volume
COUNTY.xPlumas,-1.2503273466835056e-4,1.9651435105217364e-4,-0.6362524365213152,0.5246142034125838,Log Volume
COUNTY.xRiverside,-1.0085919737459595e-4,2.574547235826473e-4,-0.39175508598589937,0.6952405039509031,Log Volume
COUNTY.xSacramento,-3.475527087771652e-5,1.7815903979334768e-4,-0.19508003028097962,0.8453309224645682,Log Volume
COUNTY.xSan Benito,1.538348891026553e-6,2.2811975856342924e-4,0.0067436021356247905,0.9946194460245421,Log Volume
COUNTY.xSan Bernardino,-1.1687768695365169e-4,2.5798260747678987e-4,-0.45304483157519415,0.6505180139489944,Log Volume
COUNTY.xSan Diego,-8.070170136938046e-5,2.500905660013633e-4,-0.3226899065394595,0.7469311637932672,Log Volume
COUNTY.xSan Francisco,2.7638911094846274e-5,5.553027225764016e-4,0.049772691490889566,0.9603036859241454,Log Volume
COUNTY.xSan Joaquin,-3.159997825018621e-5,1.769678591496594e-4,-0.17856337530456606,0.8582811264905562,Log Volume
COUNTY.xSan Luis Obispo,1.8101631262876968e-5,1.9283883897410682e-4,0.0938692192878611,0.9252133426760923,Log Volume
COUNTY.xSan Mateo,2.9020568171909078e-5,1.8306651870409895e-4,0.1585247175580845,0.8740438513105091,Log Volume
COUNTY.xSanta Barbara,1.381480839225569e-5,2.1044905433834372e-4,0.06564443083714365,0.9476611221869127,Log Volume
COUNTY.xSanta Clara,1.4724877404375242e-5,2.0369073655912573e-4,0.07229036358313243,0.9423710619940073,Log Volume
COUNTY.xSanta Cruz,1.4835512006677859e-5,1.9035583231995045e-4,0.07793568406006232,0.9378794605202783,Log Volume
COUNTY.xShasta,-1.0814454675739591e-4,1.9684690460553775e-4,-0.5493840351419657,0.5827438677598406,Log Volume
COUNTY.xSierra,-1.1077995525606666e-4,2.1126127704040082e-4,-0.5243741626861487,0.6000201614602385,Log Volume
COUNTY.xSiskiyou,-1.8818051405567306e-4,2.0773018742731162e-4,-0.9058891073379534,0.3649980016999784,Log Volume
COUNTY.xSolano,-2.5008982389177766e-5,1.8263711957302103e-4,-0.13693263695597654,0.8910844771624244,Log Volume
COUNTY.xSonoma,1.1147641191904139e-5,1.7951038352065522e-4,0.06210025834311386,0.9504831875246176,Log Volume
