term,estimate,std.error,statistic,p.value,Model
COUNTY.xOther,2.7638911094846125e-5,2.0650625436288125e-5,1.33840552094262,0.18076909197893132,Log Volume
COUNTY.xPlacer,-8.397326610162084e-5,6.645913677625904e-5,-1.2635323023277412,0.20640260329298468,Log Volume
COUNTY.xPlumas,-1.2503273466835064e-4,9.884617685420692e-5,-1.264922313108453,0.20590383899113,Log Volume
COUNTY.xRiverside,-1.0085919737459637e-4,7.323493500058386e-5,-1.377200612983302,0.16845510690905025,Log Volume
COUNTY.xSacramento,-3.475527087771753e-5,2.763310811452748e-5,-1.2577401982314733,0.20849037366000767,Log Volume
COUNTY.xSan Benito,1.5383488910272331e-6,3.0962455845128398e-6,0.49684330555751943,0.6193012812473964,Log Volume
COUNTY.xSan Bernardino,-1.1687768695365195e-4,8.563684150049842e-5,-1.3648061384068175,0.17231884478657022,Log Volume
COUNTY.xSan Diego,-8.070170136938283e-5,5.752315308938402e-5,-1.4029429374982652,0.16063876504153524,Log Volume
COUNTY.xSan Joaquin,-3.1599978250186653e-05,2.495944927747797e-5,-1.2660527040835285,0.20549887759949959,Log Volume
COUNTY.xSan Luis Obispo,1.8101631262877144e-5,1.7106703783160993e-5,1.0581600928108377,0.28998650349751054,Log Volume
COUNTY.xSan Mateo,2.9020568171908644e-5,2.2562709231259522e-5,1.2862182406580003,0.19837161582842772,Log Volume
COUNTY.xSanta Barbara,1.3814808392257955e-5,1.5237254797453842e-5,0.9066468058646904,0.3645970561458832,Log Volume
COUNTY.xSanta Clara,1.4724877404374943e-5,1.1802288046839903e-5,1.2476290483621582,0.21217155540238206,Log Volume
COUNTY.xSanta Cruz,1.4835512006679488e-5,1.2757095429101763e-5,1.1629223979022996,0.24486537726672208,Log Volume
COUNTY.xShasta,-1.0814454675740096e-4,8.678450146877712e-5,-1.246127418226959,0.21272223651510672,Log Volume
COUNTY.xSierra,-1.1077995525606993e-4,8.800955314440129e-5,-1.2587264825025097,0.20813378918803396,Log Volume
COUNTY.xSiskiyou,-1.8818051405567943e-4,1.3395827595226025e-4,-1.4047696024599687,0.16009471265221756,Log Volume
COUNTY.xSolano,-2.5008982389179115e-5,2.046275672225434e-5,-1.2221707333294203,0.2216476242068851,Log Volume
COUNTY.xSonoma,1.1147641191902882e-5,7.790110548319876e-6,1.4309991010727232,0.15243541414616898,Log Volume
COUNTY.xStanislaus,-3.364063761806451e-5,2.656406225333308e-5,-1.2663965811118933,0.20537579891308133,Log Volume
COUNTY.xSutter,-4.956818589842868e-5,3.999733821504362e-5,-1.2392871153557241,0.21524378781668596,Log Volume
COUNTY.xTehama,-7.892075766564775e-5,6.402216290696067e-5,-1.2327099567119946,0.21768857832438213,Log Volume
COUNTY.xTrinity,-5.150392124061171e-5,4.292761349484378e-5,-1.1997853373982243,0.2302272149942072,Log Volume
COUNTY.xTulare,-8.475201896955839e-5,6.390927696840848e-5,-1.326130148702087,0.18480138090669657,Log Volume
COUNTY.xTuolumne,-8.573284587177678e-5,6.625842837228957e-5,-1.293916079476943,0.19569913523246057,Log Volume
COUNTY.xVentura,-2.4902505019475332e-5,1.661944128272147e-5,-1.4983960408684385,0.13403537584663475,Log Volume
COUNTY.xYolo,-3.5266793354424227e-5,2.8658438899169967e-5,-1.2305901754978585,0.21848075870004666,Log Volume
COUNTY.xYuba,-7.242982366089572e-5,5.799118972524609e-5,-1.2489797847579573,0.21167709095211215,Log Volume
(Intercept),0.3822627336911133,0.05544407458178388,6.894564235665059,5.453501283469701e-12,Log Intensity
LATITUDE,8.9741591590273e-5,6.328845160322698e-5,1.4179773610656201,0.15620230173534408,Log Intensity
LONGITUDE,1.1740516779073963e-4,8.086465246142353e-5,1.4518725328937478,0.14654201197502262,Log Intensity
WATER_RIGHT_TYPE.xStatement of Div and Use,-0.37132026859772244,0.058702361633752545,-6.325474108084633,2.5413788901226303e-10,Log Intensity
COUNTY.xAlpine,-3.4221813372885637e-4,2.3706538024027035e-4,-1.4435601410126255,0.1488676972708641,Log Intensity
COUNTY.xAmador,-2.0904806416208855e-4,1.4493456412442872e-4,-1.4423616990534938,0.149205315227803,Log Intensity
COUNTY.xButte,2.8983692546678895e-4,4.935395183400163e-4,0.5872618396225575,0.5570299624230468,Log Intensity
COUNTY.xCalaveras,-2.1925768176064633e-4,1.5166085784367822e-4,-1.4457104151859825,0.14826339730123297,Log Intensity
COUNTY.xColusa,-1.4111328828532888e-4,9.926771669508222e-5,-1.4215426020000288,0.1551640089730591,Log Intensity
COUNTY.xContra Costa,-6.612597576987799e-5,4.586828053749321e-5,-1.4416493270513147,0.14940627719445176,Log Intensity
COUNTY.xDel Norte,-1.6393494856628137e-4,1.1949224909056408e-4,-1.3719295587283977,0.1700902341982685,Log Intensity
COUNTY.xEl Dorado,-2.5120360688466934e-4,1.7444295685934078e-4,-1.4400329563733734,0.14986302547466326,Log Intensity
COUNTY.xFresno,-1.7733396298953366e-4,1.2075976158017173e-4,-1.4684855341636514,0.1419773565952274,Log Intensity
COUNTY.xGlenn,-1.686146793274784e-4,1.1884243625070743e-4,-1.4188086734588015,0.15595973155056386,Log Intensity
